participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0030,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$60,000 to $69,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,MacBook Air/MacOS Monterey,Daily or more,"At least once per week, but not every day",Extremely well,"There are some time where Alexa either ignores my request or does something that is not at all similar to what I said. For instance, I can tell Alexa to play a song by a specific artist and instead of saying she can't find it, she plays something random.",1342
P0116,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,New York,,United States,,New York,Smartphone,,iPhone 14,"At least once per month, but not every week","At least once per month, but not every week",Moderately well,,1665
P0168,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,"Southern accent,Standard American English",,English,,English,,Tennessee,,United States,,Tennessee,Smartphone,,moto g 64 gb,Daily or more,"At least once per week, but not every day",Very well,"pronouncing my name, and those of my family, correctly.",2578
P0226,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,55-64,"$50,000 to $59,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,New England accent,,English,,English,,Connecticut,,United States,,Connecticut,Tablet,,iPad 9th generation ,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Google assist has cut me off prior to allowing me to finish my sentence. ,1445
P0036,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$150,000 or more",Doctoral degree,Woman,Black or African American,,I speak English fluently as a second or additional language,"Any non-American accent (British, European, Asian, African, etc)",Chicago urban,Other,Igbo,"English,Other","English, Igbo",Nebraska,,Other (Please specify),Nigeria,,Laptop/Computer with external microphone,,Lenovo Thinkpad X1,Only a few times,Daily or more,Slightly well,They don't seem to get what I'm saying sometimes,1769
P0002,new_recruits,Black,Non-binary,non-SAE,False,False,bl_fe,False,25-34,"Less than $10,000",Bachelor's degree in college (4-year),Non-binary,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Arizona,,United States,,Arizona,Smartphone,,Samsung Galaxy S24,"At least once per month, but not every week",Daily or more,Slightly well,Identifying music.,2920
P0246,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Arizona,,United States,,Arizona,Laptop/Computer with built-in microphone,,Lenovo Legion 5 laptop,"At least once per week, but not every day","At least once per week, but not every day",Very well,"Siri in particular can be a bit hit or miss with how adaptable it is to commands. A lot of time it flat out can't do what's asked of it, such as changing a certain setting in the phone or figuring out a certain piece of information.",1537
P0189,new_recruits,White,Female,SAE,True,True,wh_fe,True,55-64,"$60,000 to $69,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,California,,United States,,"California,Montana,Oregon,Utah,Virginia",Laptop/Computer with external microphone,,RODE Podcaster V2 USB,Not at all,Daily or more,Moderately well,I just haven't been around many places that have them.,1941
P0128,new_recruits,Black,Non-binary,non-SAE,False,False,bl_ma,False,25-34,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Non-binary,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Texas,,United States,,Texas,Smartphone,,Samsung Galaxy S25 FE,Not at all,Not at all,Slightly well,mishears what i say,710
P0064,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$30,000 to $39,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,California,,United States,,"Colorado,Ohio",Other (Please specify),HEADPHONES W/ built in mic,,Not at all,Daily or more,Not well at all,"They just always seemed to misinterpret my words,",1496
P0089,new_recruits,Black,Male,SAE,True,True,bl_ma,True,35-44,"$40,000 to $49,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,New Jersey,,United States,,New Jersey,Laptop/Computer with built-in microphone,,"Macbook Pro (15 inch, mid 2010)","At least once per month, but not every week","At least once per week, but not every day",Very well,I haven't had any issues. I wish you could stream a song on your phone and ask Siri to name the song while it's playing rather than having the music come from a separate output.,1837
P0095,new_recruits,Other/Unknown,Male,non-SAE,False,False,bl_ma,False,35-44,I prefer not to answer,Bachelor's degree in college (4-year),Man,I prefer not to answer,,I speak English fluently as a first language,"Mid Atlantic accent,Other","I am proper, kind, but if I get mad my entire dictionary changes. That rarely happens, but its there.",English,,Spanish,,New Jersey,,United States,,New Jersey,Laptop/Computer with built-in microphone,,Its brand new HP allinone desktop no tower.,"At least once per month, but not every week","At least once per week, but not every day",Slightly well,I think my deep voice doesn't get picked up well.,1080
P0011,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,New York,,United States,,Florida,Tablet,,iPad 10th generation ,Daily or more,Daily or more,Very well,It’s perfect ,3536
P0025,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Smartphone,,iphone 17 pro max ,"At least once per week, but not every day",Daily or more,Very well,"no, it’s been very efficient",1195
P0107,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,New York,,Other (Please specify),Ghana,,Smartphone,,iPhone 14 Pro Max ,Daily or more,Daily or more,Extremely well,That is when I don’t speak loudly for them to hear my instructions.,1433
P0101,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$40,000 to $49,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Arizona,,United States,,Arizona,Smartphone,,Samsung s24 fe,Daily or more,"At least once per week, but not every day",Very well,No,1929
P0216,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Michigan,,United States,,Michigan,Smartphone,,IPhone Se 3rd generation ,Daily or more,Daily or more,Very well,Usually when I ask for a specific song and I have to keep trying until I get the right one to play.,671
P0237,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$70,000 to $79,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,"French,German",,Tennessee,,United States,,"Alabama,Tennessee",Other (Please specify),Microphone on a Gaming Headset,,Daily or more,"At least once per week, but not every day",Slightly well,"The major issue is not that they misunderstand my words themselves, but my meaning. It happens in such a way that I've developed the assumption that what's going on under the hood is it's trying to find an answer, and when it can't make specific sense of my question, it will go ahead and provide answers to something adjacent. It's not conversant, is the problem. It can recognize keywords, but not synthesize into any sort of complex ideas. Example, sunset and ""total dark"" are different concepts, but if I ask these speech based systems for what time total dark is expected, they will not answer that question, because they do not understand it. I can't then say ""No, allow me to explain..."" because that doesn't help.",1243
P0065,new_recruits,Other/Unknown,Male,non-SAE,False,False,bl_ma,False,35-44,"$20,000 to $29,999",High school graduate (high school diploma or equivalent including GED),Man,I prefer not to answer,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,North Carolina,Laptop/Computer with built-in microphone,,iphone,"At least once per week, but not every day",Daily or more,Very well,no ,1874
P0143,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$40,000 to $49,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,Texas,,United States,,California,Laptop/Computer with built-in microphone,,Apple MacBook Air,Only a few times,Daily or more,Extremely well,I have a lisp and it can make it difficult to pronounce words perfectly so sometimes Gemini will completely misunderstand what I'm saying. I have to speak very clearly which is kind of a pain because it makes the conversation flow in an unnatural way. ,4773
P0016,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,HP all-in-one Desktop 24,Only a few times,Only a few times,Extremely well,none that I can think of,1369
P0117,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$150,000 or more",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,"English,French",,"English,French",,New York,,United States,,New York,Laptop/Computer with built-in microphone,,MSI Thin 15 B13UC,"At least once per week, but not every day",Daily or more,Very well,Not understanding what I am saying and giving me false results.,1030
P0127,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,"African American English,Mid Atlantic accent,Standard American English",,English,,English,,New York,,United States,,New York,Laptop/Computer with built-in microphone,,Acer Aspire 515-52,"At least once per month, but not every week",Daily or more,Moderately well,Sometimes they don't hear exactly what you said it just wastes more time,967
P0079,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Alabama,,United States,,Alabama,Smartphone,,iPhone 16e,Daily or more,Daily or more,Moderately well,Yes occasionally they misinterpret or misunderstand what I’m implying ,2222
P0009,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,18-24,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,"Black or African American,Native American or Alaska Native",,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,"English,French,Spanish",,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,HP 14,"At least once per week, but not every day",Daily or more,Moderately well,"They have underperformed by misunderstanding what I have said, even with repeats eventually leading me to complete the task on my own. There have also been instances where they chose a completely different name/song/app/topic that I originally said. They do way better at hearing the ""Hi Siri/ Hey Alexa"" than completing what I asked of them.",1638
P0017,new_recruits,Black,Female,SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,HP Laptop 14,Only a few times,Daily or more,Moderately well,yes giving simple commands,1961
P0006,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,18-24,"Less than $10,000",Some college but no degree,Woman,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,"African American English,Latino, Hispanic, or Chicano English",,English,,English,,Washington,,United States,,Washington,Smartphone,,Iphone 16 plus,"At least once per week, but not every day","At least once per week, but not every day",Very well,No,735
P0175,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$60,000 to $69,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Tablet,,iPad Air 11 inch - M3 chip,"At least once per week, but not every day",Only a few times,Very well,"Specifically with dictation / text to speech, I often get typos or completely different words. Generally when asking Siri questions, I don’t run into an issue. Siri and Alexa have a hard time understanding children in my family, though, which makes the kid version of their devices sometimes useless.",994
P0135,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,55-64,"$30,000 to $39,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,Southern accent,,English,,English,,California,,United States,,California,Smartphone,,Cloud strata 8,"At least once per week, but not every day","At least once per week, but not every day",Not well at all,They initially perform the task would be hard to understand their dialect sometimes,1490
P0241,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,"Florida,Massachusetts",Laptop/Computer with external microphone,,MSI GF53 Thin 10SC,Daily or more,Daily or more,Very well,I think that Alexa has the most trouble understanding my deep voice.,1714
P0215,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$10,000 to $19,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,California,,United States,,California,Smartphone,,Iphone13,Daily or more,Daily or more,Very well,"Sometimes they don’t get what your are saying exactly, and get the response wrong.",906
P0096,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,Southern accent,,English,,English,,South Carolina,,United States,,South Carolina,Laptop/Computer with built-in microphone,,dell inspirion 15 3000,Daily or more,Daily or more,Extremely well,The only ways that they have underperform was not understanding my Dialect.,1924
P0208,new_recruits,White,Male,SAE,True,True,wh_ma,True,18-24,"Less than $10,000",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with external microphone,,Apple MacBook Pro 14-inch 2023 model with an M3 chip,Only a few times,Daily or more,Very well,Sometimes they do not know the words I am using if they are non-conventional or medical-related terms.,1136
P0164,new_recruits,White,Female,SAE,True,True,wh_fe,True,45-54,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,Spanish,,Utah,,United States,,Nevada,Laptop/Computer with external microphone,,HP Laptop E77Q8A66 - 15-dw0xxx using Corsair wired headphones. ,"At least once per month, but not every week",Daily or more,Slightly well,"I have noticed them getting almost as good as the written based ones, but in the past, they would misunderstand my speech or request, or come up with unrelated answers sometimes",1301
P0169,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$30,000 to $39,999","Professional degree (JD, MD)",Woman,White or European American,,I speak English fluently as a first language,"California accent,Other","I've lived in Coastal/Southwest California, Urban New York, and the Rocky Mountain region.",English,,English,,Washington,,United States,,California,Laptop/Computer with built-in microphone,,HP Chromebook x360,Daily or more,"At least once per week, but not every day",Very well,"Not based on speech. Some have refused to update things like address or location, but that's an app problem we haven't been able to solve yet.",4408
P0050,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$50,000 to $59,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Mississippi,,United States,,Mississippi,Laptop/Computer with external microphone,,Acemagic mini pc,"At least once per week, but not every day",Daily or more,Extremely well,No,1931
P0243,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Alabama,,United States,,Michigan,Laptop/Computer with built-in microphone,,Chromebook,"At least once per week, but not every day",Daily or more,Very well,There are times when a speech based system has not met my mood and it makes for  a poor experience.,1484
P0067,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$40,000 to $49,999",Some college but no degree,Man,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,"African American English,Latino, Hispanic, or Chicano English,Standard American English",,"English,Spanish",,"English,Spanish",,Connecticut,,Other (Please specify),Dominican Republic ,,Smartphone,,Samsung Galaxy S23 Ultra ,Daily or more,Daily or more,Extremely well,Sometimes the delay in response causes confusion and frustration ,1946
P0138,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$80,000 to $89,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,"English,French,Spanish",,Colorado,,United States,,California,Laptop/Computer with built-in microphone,,HP Zbook,Not at all,Daily or more,Moderately well,I've never used one in my entire life,1476
P0039,new_recruits,Black,Female,SAE,True,True,bl_fe,True,35-44,"Less than $10,000",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Ohio,,United States,,Ohio,Laptop/Computer with built-in microphone,,Asus Tuf Gaming Laptop A15 ,Not at all,Only a few times,Slightly well,Sometimes in the past it would auto correct to the wrong word of something I was looking for. ,2005
P0037,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$150,000 or more",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,"English,Spanish",,Virginia,,United States,,"District of Columbia,Maryland",Laptop/Computer with built-in microphone,,Lenovo Ideapad,Daily or more,"At least once per week, but not every day",Very well,Siri is not always capable.,1774
P0015,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,California accent,,English,,English,,Arizona,,United States,,California,Smartphone,,iPhone 14 pro ,Daily or more,Daily or more,Moderately well,"It’s mainly not recognizing my voice we’re not actually giving a response, but pulling up a bunch of websites. That are sometimes related or not.",783
P0109,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"Less than $10,000",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Florida,,United States,,Florida,Smartphone,,Samsung A12,Daily or more,"At least once per week, but not every day",Slightly well,Google Assistant,1638
P0088,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Smartphone,,iPhone 14,"At least once per month, but not every week",Daily or more,Moderately well,Not fully understanding my words or tone.,611
P0034,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$70,000 to $79,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"Any non-American accent (British, European, Asian, African, etc)",Jamaican ,English,,English,,Florida,,Other (Please specify),Jamaica ,,Smartphone,,iPhone 17 pro max ,Daily or more,Daily or more,Very well,None responses or poor speech recognition ,1318
P0076,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$100,000 to $149,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Connecticut,,United States,,Connecticut,Laptop/Computer with built-in microphone,,HP EliteBook  830 G7 Notebook PC,Daily or more,Daily or more,Extremely well,none,1789
P0094,new_recruits,Black,Male,SAE,True,True,bl_ma,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with built-in microphone,,"iMac (21.5-inch, Late 2013)",Daily or more,Daily or more,Very well,"Misinterpreting parts of the command, causing me to have to repeat what I said in a different way.",1945
P0023,new_recruits,Black,Male,non-SAE,True,False,bl_fe,False,35-44,"$100,000 to $149,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,HP Laptop 15-da0xxx,"At least once per week, but not every day",Daily or more,Extremely well,No,2078
P0007,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$20,000 to $29,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Florida,,United States,,Florida,Smartphone,,iPhone 15,"At least once per week, but not every day",Daily or more,Slightly well,Siri always catches the wrong things and mishears ,1394
P0019,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$70,000 to $79,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Midland or Northern Midwest accent,Standard American English",,English,,English,,Illinois,,United States,,Minnesota,Laptop/Computer with built-in microphone,,Dell XPS 13,Daily or more,"At least once per month, but not every week",Moderately well,It does not always select the correct word spoken. It can often be similar but not correct. ,1960
P0134,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,dell latitude 7490,Only a few times,Daily or more,Extremely well,none,1753
P0105,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$150,000 or more",Master's degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Texas,,United States,,Texas,Smartphone,,Samsung Galaxy S22 Ultra,Daily or more,Daily or more,Extremely well,I dislike somwtimes when they do not understand some phrases that are commonly used in some areas of the US.,1106
P0047,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$70,000 to $79,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Texas,,United States,,Texas,Smartphone,,Samsung Galaxy S23 Ultra ,Daily or more,Daily or more,Slightly well,They always misheard something i say,1921
P0049,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Pennsylvania,,United States,,"Maryland,New York,Pennsylvania",Smartphone,,Pixel 8,"At least once per week, but not every day","At least once per week, but not every day",Slightly well,Messed up the meaning of messages by interpreting multiple words wrong,1196
P0085,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$30,000 to $39,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a second or additional language,"Any non-American accent (British, European, Asian, African, etc)",Kenyan English,English,,English,,North Carolina,,Other (Please specify),Kenya,,Laptop/Computer with built-in microphone,,Dell XPS 15,"At least once per week, but not every day",Daily or more,Very well,"Yes, they often misunderstand my voice by the pool due to music or wind. Also, responding quietly or requiring me to shout ""Hey Siri"" repeatedly gets frustrating.",2332
P0060,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,I prefer not to answer,High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,South Carolina,,United States,,South Carolina,Laptop/Computer with external microphone,,Mid-2012 Macbook Pro. ,Not at all,Only a few times,Extremely well,No,1096
P0121,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$70,000 to $79,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a second or additional language,African American English,,Other,Swahili,"English,German,Other","English, German and Swahili",North Carolina,,United States,,North Carolina,Laptop/Computer with built-in microphone,,Samsung Galaxy S24,Daily or more,Daily or more,Very well,no,1501
P0022,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$10,000 to $19,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"Southern accent,New Orleans / Cajun accent",,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with built-in microphone,,"HP DESKTOP-49AUAVC
","At least once per week, but not every day",Daily or more,Not well at all,misinterrupret what im saying,1512
P0005,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,,Daily or more,Daily or more,Extremely well,,1378
P0033,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$10,000 to $19,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,New Orleans / Cajun accent,Standard American English",,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with external microphone,,"ibuypower Gaming PC, Intel(R) Core(TM) i7- 14700F","At least once per week, but not every day",Not at all,Extremely well,"No, not in any way I can think of.",1696
P0108,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$40,000 to $49,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a second or additional language,African American English,,English,,"English,German",,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,hp elitebook I5,"At least once per week, but not every day",Daily or more,Very well,no,1507
P0045,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$20,000 to $29,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"Any non-American accent (British, European, Asian, African, etc)",I don't speak with a US regional or US ethnic English dialect. My English accent and dialect are Zambian.,English,,English,,Pennsylvania,,Other (Please specify),Zambia,,Laptop/Computer with built-in microphone,,Acer Concept D CC3I4-72G,Only a few times,Daily or more,Very well,Not recently. In the past some words were not clear to the system due to my accent.,4082
P0059,new_recruits,White,Female,SAE,True,False,bl_fe,False,25-34,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,"English,Other","English, Swahili",Louisiana,,United States,,Florida,Laptop/Computer with built-in microphone,,Dell latitude 7280,"At least once per week, but not every day","At least once per month, but not every week",Very well,no,3823
P0043,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,18-24,I prefer not to answer,High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Pennsylvania,,United States,,North Carolina,Laptop/Computer with built-in microphone,,"MacBook Air 13""",Only a few times,"At least once per month, but not every week",Very well,"My Siri is in a different language, so sometimes it cannot understand my American accent",1261
P0052,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Minnesota,,United States,,Minnesota,Laptop/Computer with built-in microphone,,DellXPS,"At least once per week, but not every day",Daily or more,Very well,No,4239
P0018,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$20,000 to $29,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,Spanish,,North Carolina,,United States,,North Carolina,Smartphone,,iPhone 15pro max,Daily or more,"At least once per week, but not every day",Very well,I personally have never had an issue but my children’s father has an accent it messes up on him. ,949
P0086,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Georgia,,United States,,Georgia,Smartphone,,iPhone 15,"At least once per week, but not every day","At least once per week, but not every day",Very well,No ,3153
P0187,new_recruits,White,Female,SAE,True,True,wh_fe,True,45-54,"$90,000 to $99,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with external microphone,,Dell XPS 13,"At least once per month, but not every week",Daily or more,Moderately well,Alexa,1410
P0035,new_recruits,Other/Unknown,Female,SAE,False,False,bl_fe,False,25-34,I prefer not to answer,Bachelor's degree in college (4-year),Woman,I prefer not to answer,,I speak English fluently as a first language,Standard American English,,English,,English,,New York,,United States,,New York,Laptop/Computer with external microphone,,PC with ASUS baseboard and Microsoft windows 11 operating system ,Daily or more,"At least once per week, but not every day",Moderately well,Sometimes some speech-based systems don't provide enough information and they instead send website links to research when they cannot come up with an answer. ,1549
